OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,YEAR,
11-9199,"Managers, All Other",detailed,1350,9.8,48.34,100550,1.9,22.64,33.47,47.9,60.56,75.31,47090,69610,99630,125970,156650,2018,
13-0000,Business and Financial Operations Occupations,major,30420,5.8,31.07,64630,1.6,16.69,21.01,28.26,37.44,48.62,34710,43710,58780,77870,101130,2018,
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,30,46.2,26.21,54520,23.5,11.3,14.18,19.64,38.79,45.94,23510,29490,40860,80670,95560,2018,
13-1020,Buyers and Purchasing Agents,detailed,1730,14.8,28.1,58440,1.4,17.23,20.66,26.02,33.95,42.06,35840,42970,54120,70620,87490,2018,
13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,2570,6.3,24.9,51800,8.8,16.81,18.55,22.46,30.36,37.95,34960,38580,46710,63140,78930,2018,
13-1041,Compliance Officers,detailed,890,7.1,30.57,63580,4,17.61,22.41,29.7,38.09,45.57,36630,46620,61770,79220,94780,2018,
13-1051,Cost Estimators,detailed,910,8.7,32.27,67110,2.3,18.35,24,31.99,39.56,47.9,38170,49910,66530,82270,99640,2018,
13-1071,Human Resources Specialists,detailed,2560,5.8,27.93,58100,1.2,16.63,20.73,26.69,33.92,39.69,34600,43120,55520,70560,82560,2018,
13-1075,Labor Relations Specialists,detailed,750,22.2,27.55,57300,11.3,8.34,16.08,26.62,39.72,47.43,17340,33450,55360,82620,98660,2018,
13-1081,Logisticians,detailed,840,31,36.28,75460,3.6,18.79,24.64,34.39,45.99,58.59,39080,51240,71540,95650,121860,2018,
13-1111,Management Analysts,detailed,1990,13.6,36.73,76390,3,19.39,26.36,34,44.55,56.33,40320,54830,70720,92660,117170,2018,
13-1121,"Meeting, Convention, and Event Planners",detailed,340,12.7,18.45,38380,4.3,10.83,13.2,17.07,22.54,29.43,22520,27450,35510,46880,61220,2018,
13-1131,Fundraisers,detailed,180,17.2,22.74,47300,2.7,15.45,17.9,22.33,27.55,30.95,32130,37240,46440,57290,64370,2018,
13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,290,19.3,26.03,54140,2.2,18.26,20.96,24.1,30.11,38.86,37970,43590,50140,62630,80820,2018,
13-1151,Training and Development Specialists,detailed,1420,6.8,26.63,55390,2.4,14.77,18.97,24.56,32.45,41.88,30710,39470,51080,67490,87100,2018,
13-1161,Market Research Analysts and Marketing Specialists,detailed,2190,10.7,28.07,58380,2.2,15.22,19.76,26.4,32.8,45.44,31650,41100,54910,68220,94510,2018,
13-1199,"Business Operations Specialists, All Other",detailed,3600,13.8,31.79,66120,2.8,16.84,21.79,30.73,38.4,47.82,35030,45320,63920,79880,99470,2018,
13-2011,Accountants and Auditors,detailed,4610,6.4,34.06,70830,1.9,19.69,24.41,30.5,38.91,54.15,40960,50770,63430,80930,112640,2018,
13-2021,Appraisers and Assessors of Real Estate,detailed,100,48.1,17.34,36070,19.8,8,8.49,9.32,17.66,38.93,16630,17660,19380,36740,80970,2018,
13-2031,Budget Analysts,detailed,120,18,31.86,66280,5.4,14.09,22.03,31.56,42.34,48.62,29300,45820,65640,88060,101120,2018,
13-2041,Credit Analysts,detailed,270,17.3,37.19,77350,3.6,21.65,25.45,31.89,47,60.21,45030,52940,66330,97770,125240,2018,
13-2051,Financial Analysts,detailed,960,15,34.45,71660,4.3,18.79,22.98,32.12,42.53,51.2,39090,47800,66810,88460,106510,2018,
13-2052,Personal Financial Advisors,detailed,900,18.3,47.64,99090,9.5,18.35,23.79,31.51,68.69,93.7,38170,49490,65540,142870,194890,2018,
13-2053,Insurance Underwriters,detailed,390,44.2,33.46,69590,5,18.79,22.61,29.18,39.18,54.01,39090,47040,60700,81500,112340,2018,
13-2061,Financial Examiners,detailed,170,28.3,29.84,62060,5.7,18.61,21.72,26.6,33.99,47.57,38710,45170,55340,70700,98940,2018,
13-2071,Credit Counselors,detailed,30,33.1,22.91,47640,5.9,15.71,17.32,21.43,25.2,28.83,32670,36020,44570,52420,59970,2018,
13-2072,Loan Officers,detailed,1580,10,33.91,70520,4.8,16.38,21.21,29.35,41.03,60.8,34070,44110,61040,85350,126450,2018,
13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,120,2.7,31.05,64580,10.3,17.4,21,27.13,38.81,53.13,36200,43690,56420,80720,110520,2018,
13-2082,Tax Preparers,detailed,520,35.7,22.59,46980,8.8,11.38,15.21,18.9,32.1,37.03,23680,31630,39320,66760,77010,2018,
13-2099,"Financial Specialists, All Other",detailed,350,29.3,31.48,65480,6,18.54,21.59,27.1,35.97,48.83,38560,44900,56370,74810,101560,2018,
15-0000,Computer and Mathematical Occupations,major,16760,5.9,36,74870,2,17.74,25.31,34.92,45.91,57.05,36900,52640,72620,95480,118670,2018,
15-1121,Computer Systems Analysts,detailed,2220,19.3,36.92,76790,3.4,19.29,26.51,35.57,46.07,57.68,40130,55140,73990,95830,119970,2018,
15-1122,Information Security Analysts,detailed,390,19.3,41.79,86920,2.7,21.19,29.32,38.99,54.57,64.24,44070,60990,81100,113500,133620,2018,
15-1131,Computer Programmers,detailed,720,40,36.38,75670,2.7,23.7,28.56,36.49,44.42,49.07,49290,59410,75900,92400,102070,2018,
15-1132,"Software Developers, Applications",detailed,3700,19.8,40.4,84020,2.4,23.96,31.49,39.89,49.46,59.86,49850,65490,82980,102870,124510,2018,
15-1133,"Software Developers, Systems Software",detailed,1250,22.1,43.66,90820,1.6,31.16,35.42,43.01,51.8,60.33,64820,73680,89460,107750,125490,2018,
15-1134,Web Developers,detailed,620,24.5,35.13,73070,8.1,14.86,22.64,33.19,47.74,57.95,30910,47080,69030,99300,120550,2018,
15-1141,Database Administrators,detailed,570,14.9,41.42,86150,3.1,21.37,30.14,42.58,53.21,60.75,44460,62690,88570,110670,126370,2018,
15-1142,Network and Computer Systems Administrators,detailed,1280,9.6,34.21,71160,1.6,20.53,24.3,32.14,42.63,52.39,42700,50550,66860,88670,108960,2018,
15-1143,Computer Network Architects,detailed,560,17.7,41.76,86870,2.9,25.62,30.7,40.95,50.24,61.92,53290,63850,85170,104510,128790,2018,
15-1151,Computer User Support Specialists,detailed,2760,9.8,22.8,47430,3.1,13.31,15.89,21,28.1,35.81,27680,33050,43670,58450,74480,2018,
15-1152,Computer Network Support Specialists,detailed,680,11.7,29.93,62250,4.1,17.91,21.76,27.95,36.29,46.73,37250,45250,58130,75490,97190,2018,
15-1199,"Computer Occupations, All Other",detailed,1260,28.2,37.88,78800,2.1,22.32,29.61,36.06,45.57,58.49,46420,61590,75000,94780,121650,2018,
15-2031,Operations Research Analysts,detailed,460,34.6,37.47,77930,1.8,25.65,28.86,35.4,45.33,56.06,53360,60030,73640,94290,116610,2018,
15-2041,Statisticians,detailed,110,15.4,41.54,86400,3,29.31,36.46,42.34,45.86,53.14,60960,75840,88060,95390,110530,2018,
17-0000,Architecture and Engineering Occupations,major,10470,13.4,35.85,74560,2.2,18.45,25.17,34.38,45.55,55.89,38370,52340,71510,94750,116240,2018,
17-1011,"Architects, Except Landscape and Naval",detailed,550,3.8,31.94,66430,7.9,16.49,19.56,29.64,42.05,49.48,34300,40690,61650,87460,102920,2018,
17-1012,Landscape Architects,detailed,,,30.64,63730,7.1,16.46,25.22,34.15,37.11,39.05,34230,52460,71020,77190,81220,2018,
17-1021,Cartographers and Photogrammetrists,detailed,50,7.3,,,,,,,,,,,,,,2018,
17-1022,Surveyors,detailed,150,13.5,26.48,55080,4.7,16.42,20.25,26.87,32.53,37.41,34160,42120,55880,67670,77810,2018,
17-2011,Aerospace Engineers,detailed,50,49.3,52.66,109540,1.9,40.41,46.04,54.24,60.62,64.4,84050,95760,112820,126090,133950,2018,
17-2021,Agricultural Engineers,detailed,40,33.6,28.34,58940,5.1,18.38,24.09,27.38,32.24,42.85,38230,50110,56940,67070,89130,2018,
17-2041,Chemical Engineers,detailed,130,17.7,47.56,98920,5.3,30.56,35.87,44.22,55.13,69.7,63560,74610,91980,114670,144970,2018,
17-2051,Civil Engineers,detailed,1350,8,40.68,84610,4,22.41,30.31,38.6,48.97,62.92,46600,63040,80290,101870,130880,2018,
17-2061,Computer Hardware Engineers,detailed,120,37.2,36.29,75480,13.3,20.61,23.44,32.08,44.65,56.08,42870,48760,66730,92880,116650,2018,
17-2071,Electrical Engineers,detailed,810,29.5,43.37,90200,2.6,27.14,32.98,43.33,53.57,61.66,56460,68610,90140,111420,128250,2018,
17-2072,"Electronics Engineers, Except Computer",detailed,210,22.4,46.22,96140,5.9,25.11,33.38,43.95,55.68,80.66,52220,69440,91420,115820,167770,2018,
17-2081,Environmental Engineers,detailed,110,21.5,38.74,80590,5.1,22.32,30.41,39.47,46.43,55.11,46430,63250,82090,96580,114620,2018,
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,70,18.1,40.85,84980,3.2,27.44,34.74,41.75,48.29,55.48,57070,72270,86840,100440,115400,2018,
17-2112,Industrial Engineers,detailed,1620,10,36.31,75520,2.6,23.32,28.39,35.09,43.58,52.62,48500,59040,72990,90640,109460,2018,
17-2131,Materials Engineers,detailed,50,30.6,34.2,71130,6.3,16.82,25.09,32.6,43.03,55.92,34990,52180,67800,89500,116310,2018,
17-2141,Mechanical Engineers,detailed,2110,42.8,41.74,86810,1.8,26.46,32.75,42.48,49.34,58.42,55040,68120,88360,102630,121500,2018,
17-2199,"Engineers, All Other",detailed,330,11,36.79,76520,4.2,16.09,22.81,35.71,49.18,60.06,33470,47450,74280,102290,124930,2018,
17-3011,Architectural and Civil Drafters,detailed,360,14.5,26.3,54710,6.8,14.09,17.65,24.37,31.75,44.26,29310,36720,50680,66030,92060,2018,
17-3012,Electrical and Electronics Drafters,detailed,,,27.89,58020,12.9,11.24,19.8,24.45,36.58,50.82,23390,41180,50850,76080,105710,2018,
17-3013,Mechanical Drafters,detailed,350,39.4,25.49,53020,3.6,16.53,18.65,24.02,30.92,37.01,34370,38780,49960,64320,76970,2018,
17-3019,"Drafters, All Other",detailed,90,33.9,28.93,60170,5.5,16.62,22.18,29.28,35.81,39.85,34560,46130,60900,74480,82880,2018,
17-3022,Civil Engineering Technicians,detailed,280,21,21.61,44940,3.2,14.39,17.7,21.42,25.18,29.32,29920,36820,44540,52380,60980,2018,
17-3023,Electrical and Electronics Engineering Technicians,detailed,380,16.9,28.8,59910,5,16.7,21.33,27.74,35.33,43.67,34730,44370,57700,73490,90840,2018,
17-3025,Environmental Engineering Technicians,detailed,30,23.1,19.43,40410,8.4,13.27,14.57,17.4,22.76,30.58,27600,30310,36190,47350,63600,2018,
17-3026,Industrial Engineering Technicians,detailed,260,12.4,23.37,48620,2.6,15.85,17.94,22.14,27.62,33.44,32980,37310,46060,57440,69560,2018,
17-3027,Mechanical Engineering Technicians,detailed,220,31.4,24.33,50600,3,16.82,20.28,24.92,28.59,30.85,34990,42190,51820,59460,64170,2018,
17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,,,28.53,59350,6.5,19.23,23.49,29,34.02,37.29,39990,48860,60320,70760,77560,2018,
17-3031,Surveying and Mapping Technicians,detailed,280,13.3,19.61,40800,2.8,15.05,16.58,18.43,21.48,25.95,31300,34490,38330,44670,53970,2018,
19-0000,"Life, Physical, and Social Science Occupations",major,2280,10.3,33.92,70550,2.9,16.78,21.7,30.32,43.44,55,34890,45130,63050,90360,114400,2018,
19-1012,Food Scientists and Technologists,detailed,40,37.8,34.9,72600,11.6,16.66,21.23,27.82,44.94,58.66,34660,44170,57870,93470,122010,2018,
19-1023,Zoologists and Wildlife Biologists,detailed,60,47,35.56,73960,5.4,21.51,25.37,32.13,38.41,68.07,44750,52760,66820,79880,141590,2018,
19-1029,"Biological Scientists, All Other",detailed,50,7.5,35.23,73280,4.2,22.18,29.43,38.8,42.02,45.85,46130,61220,80710,87390,95370,2018,
19-1031,Conservation Scientists,detailed,30,27.5,33.46,69590,6.4,16.42,24.41,34.34,44.1,47.67,34150,50780,71430,91720,99160,2018,
19-1042,"Medical Scientists, Except Epidemiologists",detailed,100,37.8,44.01,91550,5.6,28.68,34.34,42.46,50.19,66.07,59660,71430,88320,104390,137430,2018,
19-2021,Atmospheric and Space Scientists,detailed,30,19.8,,,,,,,,,,,,,,2018,
19-2031,Chemists,detailed,210,15.3,38.96,81040,4.2,21.69,28.5,36.93,47.96,57.96,45120,59270,76810,99760,120560,2018,
19-2041,"Environmental Scientists and Specialists, Including Health",detailed,240,36.1,23.74,49370,2.9,16.47,18.79,21.85,25.66,36.27,34260,39090,45450,53370,75440,2018,
19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,50,38.4,38.2,79460,6.1,22.06,28.12,41.46,46.58,54.53,45880,58480,86230,96890,113420,2018,
19-2099,"Physical Scientists, All Other",detailed,,,47.02,97810,4.5,40.98,43.98,47.32,53.13,58.37,85240,91470,98430,110520,121410,2018,
19-3022,Survey Researchers,detailed,30,43.3,28.13,58510,6.5,20.29,23.69,28.89,34.09,37.62,42210,49270,60100,70910,78250,2018,
19-3031,"Clinical, Counseling, and School Psychologists",detailed,310,21.6,40.46,84150,5.3,15.03,26.58,35.4,48.88,72.01,31260,55290,73630,101660,149780,2018,
19-3039,"Psychologists, All Other",detailed,30,8.7,46.1,95900,2.9,40.68,46.15,50.33,53.13,54.53,84610,95980,104690,110510,113430,2018,
19-3051,Urban and Regional Planners,detailed,60,9.8,28.43,59140,6.9,16.42,20.8,24.65,37.62,45.98,34160,43250,51280,78240,95640,2018,
19-3099,"Social Scientists and Related Workers, All Other",detailed,70,6,45.16,93930,7.3,21.95,35.28,43.81,53.31,62.93,45650,73380,91130,110880,130900,2018,
19-4011,Agricultural and Food Science Technicians,detailed,70,33.4,24.52,51000,6,15.83,18.85,22.72,28.62,37.34,32920,39210,47250,59530,77670,2018,
19-4021,Biological Technicians,detailed,70,39.5,20.56,42760,8.5,14.06,16.67,20.72,24.38,28.01,29240,34660,43100,50700,58250,2018,
19-4031,Chemical Technicians,detailed,190,9.9,25.9,53880,5.4,14.99,18.2,23.84,33.74,38.66,31170,37850,49580,70180,80420,2018,
19-4061,Social Science Research Assistants,detailed,50,7.6,23.3,48470,3,16.02,18.23,23.23,28.06,30.71,33330,37920,48320,58360,63870,2018,
19-4091,"Environmental Science and Protection Technicians, Including Health",detailed,40,21.1,29.54,61450,10,14.99,17.92,23,44.71,49.63,31190,37280,47850,92990,103230,2018,
19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,220,17.4,25.6,53250,1.8,15.79,19.55,25.45,30.71,37.57,32850,40660,52940,63880,78140,2018,
21-0000,Community and Social Service Occupations,major,8020,5.3,21.44,44600,2.9,12.59,15.69,19.45,25.86,34,26180,32630,40450,53780,70730,2018,
21-1012,"Educational, Guidance, School, and Vocational Counselors",detailed,850,18.4,31.68,65890,6.4,17.57,23.24,31.24,40.04,47.45,36550,48350,64980,83280,98690,2018,
21-1013,Marriage and Family Therapists,detailed,100,29.9,20.38,42400,4.2,15.36,16.56,18.54,22.71,29.16,31950,34450,38560,47240,60660,2018,
21-1015,Rehabilitation Counselors,detailed,220,22,16.62,34570,3.8,10.54,12.33,15.89,19.27,24.43,21910,25640,33060,40080,50820,2018,
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,1190,15.1,21.7,45130,2.9,14.44,17.07,20.95,24.95,30.87,30030,35500,43570,51900,64220,2018,
21-1021,"Child, Family, and School Social Workers",detailed,1670,5,20.17,41960,3.6,13.56,16.04,18.66,22.83,29.58,28200,33360,38820,47480,61540,2018,
21-1022,Healthcare Social Workers,detailed,720,10.5,24.58,51120,2.4,16.68,19.91,25.3,29.06,31.45,34700,41410,52630,60430,65420,2018,
21-1023,Mental Health and Substance Abuse Social Workers,detailed,260,17.3,19.89,41370,2.2,14.77,16.51,18.85,23.39,27.96,30710,34350,39220,48650,58150,2018,
21-1029,"Social Workers, All Other",detailed,130,0,33.7,70090,2.9,14.88,30.42,38.26,39.99,42.33,30950,63270,79590,83170,88050,2018,
21-1091,Health Educators,detailed,160,21.2,23.78,49470,5.3,14.93,17.9,23.36,29.82,35.39,31050,37230,48590,62020,73610,2018,
21-1092,Probation Officers and Correctional Treatment Specialists,detailed,380,25.7,18.16,37780,3.6,13.47,15.65,17.43,19.85,24.1,28030,32560,36250,41290,50140,2018,
21-1093,Social and Human Service Assistants,detailed,1460,15,15.42,32070,2.8,10.23,11.7,14.23,18.29,23.26,21280,24340,29600,38050,48380,2018,
21-1094,Community Health Workers,detailed,460,25.1,20.32,42270,5.4,13.13,15.38,18.29,24.54,31.31,27300,31980,38050,51050,65130,2018,
21-1099,"Community and Social Service Specialists, All Other",detailed,170,24,24.98,51960,3.8,15.86,18.86,24.65,30.48,36.36,32980,39240,51280,63390,75620,2018,
21-2011,Clergy,detailed,210,37.1,23.49,48860,3.3,15.65,19.81,22.59,26.2,33.32,32550,41200,47000,54500,69310,2018,
23-0000,Legal Occupations,major,3720,5.8,40.88,85030,5.9,16.9,22.2,30.71,51,75.8,35150,46180,63890,106090,157660,2018,
23-1011,Lawyers,detailed,2100,8.9,52.74,109690,6.4,25.47,30.86,42.82,66.11,90.58,52980,64180,89070,137510,188410,2018,
23-1012,Judicial Law Clerks,detailed,40,4.4,15.75,32760,6.2,12.32,13.18,14.63,17.38,21.5,25620,27420,30430,36150,44710,2018,
23-1022,"Arbitrators, Mediators, and Conciliators",detailed,,,24.85,51680,3.5,20,21.59,24.25,27.69,29.81,41600,44910,50440,57600,62010,2018,
23-1023,"Judges, Magistrate Judges, and Magistrates",detailed,100,0.1,64.08,133290,2.1,53.23,58.44,70.11,70.12,75.8,110720,121560,145830,145850,157670,2018,
23-2011,Paralegals and Legal Assistants,detailed,1130,11.7,22.49,46780,4.5,14.84,17.85,21.81,25.87,31.57,30860,37130,45370,53810,65670,2018,
23-2091,Court Reporters,detailed,40,1.2,15.65,32550,2.4,12.95,14.02,15.71,17.65,18.82,26950,29170,32670,36720,39140,2018,
23-2093,"Title Examiners, Abstractors, and Searchers",detailed,80,45.8,23.09,48030,12.3,8.75,19.25,25.19,29.21,32.48,18210,40040,52390,60760,67570,2018,
23-2099,"Legal Support Workers, All Other",detailed,60,0,28.3,58860,2.3,19.43,23.25,27.89,28.64,37.36,40410,48350,58020,59570,77700,2018,
25-0000,"Education, Training, and Library Occupations",major,26260,3.7,25.19,52400,4.5,11,16.79,24.38,32.11,38.77,22880,34920,50710,66780,80650,2018,
25-1011,"Business Teachers, Postsecondary",detailed,160,44.8,,,,,,,,,,,,,,2018,
25-1022,"Mathematical Science Teachers, Postsecondary",detailed,70,47.7,,,,,,,,,,,,,,2018,
25-1067,"Sociology Teachers, Postsecondary",detailed,90,10.5,,,,,,,,,,,,,,2018,
25-1072,"Nursing Instructors and Teachers, Postsecondary",detailed,250,4.6,,72460,3,,,,,,49740,59560,70760,80400,101790,2018,
25-1081,"Education Teachers, Postsecondary",detailed,,,,75570,5.1,,,,,,30670,46460,63240,84530,113690,2018,
25-1121,"Art, Drama, and Music Teachers, Postsecondary",detailed,,,,103560,10.2,,,,,,46110,57290,77050,119820,201880,2018,
25-1123,"English Language and Literature Teachers, Postsecondary",detailed,80,48.1,,,,,,,,,,,,,,2018,
25-1194,"Vocational Education Teachers, Postsecondary",detailed,220,24.6,21.89,45530,7.2,14.63,16.89,22.06,26.79,29.74,30430,35140,45890,55720,61860,2018,
25-1199,"Postsecondary Teachers, All Other",detailed,460,15.9,,,,,,,,,,,,,,2018,
25-2011,"Preschool Teachers, Except Special Education",detailed,1520,30.5,13.61,28300,6.7,8.57,9.8,11.22,15.26,23.67,17830,20380,23330,31730,49230,2018,
25-2012,"Kindergarten Teachers, Except Special Education",detailed,630,6.5,,61550,4.5,,,,,,42030,48890,60900,74450,82720,2018,
25-2021,"Elementary School Teachers, Except Special Education",detailed,5100,4.1,,58630,4.5,,,,,,38410,46640,58260,71470,80460,2018,
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detailed,2210,3.7,,61120,2.8,,,,,,42830,49100,59480,72200,81720,2018,
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,3440,4.6,,61490,3.7,,,,,,42820,49590,60550,73360,82040,2018,
25-2032,"Career/Technical Education Teachers, Secondary School",detailed,,,,59260,3.8,,,,,,41150,45050,52760,74650,82270,2018,
25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,710,6,,60380,3.1,,,,,,41940,48090,59380,72580,81200,2018,
25-2053,"Special Education Teachers, Middle School",detailed,330,5.8,,61560,2.1,,,,,,42310,49640,59990,72890,82410,2018,
25-2054,"Special Education Teachers, Secondary School",detailed,490,5.1,,59810,3,,,,,,42450,48340,58320,69840,80690,2018,
25-2059,"Special Education Teachers, All Other",detailed,290,0.4,,62600,2.4,,,,,,43910,53190,61990,73400,81860,2018,
25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,detailed,90,33.2,16.96,35280,5.2,9.06,12.52,15.93,19.14,24.32,18850,26050,33130,39800,50590,2018,
25-3021,Self-Enrichment Education Teachers,detailed,350,20.7,16.88,35100,7.2,8.36,10.15,14.39,18.93,31.75,17390,21120,29930,39380,66030,2018,
25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",detailed,1530,7.5,,52130,4.4,,,,,,25440,36680,48330,65150,84090,2018,
25-3098,Substitute Teachers,detailed,620,17.8,11.75,24430,4.3,8.56,9.69,10.83,12,16.3,17800,20160,22530,24970,33900,2018,
25-4012,Curators,detailed,40,14,24.95,51890,5.9,15.72,19.54,24.97,29.33,35.75,32690,40650,51940,61010,74350,2018,
25-4021,Librarians,detailed,420,3.9,30.78,64010,5.7,18.02,23.86,30.98,37.57,44.21,37470,49620,64430,78140,91950,2018,
25-4031,Library Technicians,detailed,170,24.7,15.48,32190,3.1,10.95,13.02,15.2,17.59,19.26,22770,27080,31610,36580,40050,2018,
25-9021,Farm and Home Management Advisors,detailed,,,23.72,49340,2.3,13.65,17.86,23.14,29.02,35.33,28380,37140,48130,60350,73490,2018,
25-9031,Instructional Coordinators,detailed,560,14.9,24.93,51850,7,10.68,18.07,22.55,33.45,41.88,22220,37590,46900,69580,87120,2018,
25-9041,Teacher Assistants,detailed,3990,11.5,,30210,7.6,,,,,,18820,23190,29020,36880,45050,2018,
25-9099,"Education, Training, and Library Workers, All Other",detailed,560,32.7,22.01,45780,9.8,9.17,12.37,18.93,25.97,40.89,19070,25730,39380,54010,85040,2018,
27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,7000,8.5,22.8,47430,2.8,10.59,14.49,19.19,27.14,36.8,22030,30140,39920,56450,76540,2018,
