,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,YEAR,Unnamed: 19
49,13-2021,Appraisers and Assessors of Real Estate,detailed,100.0,48.1,17.34,36070.0,19.8,8.0,8.49,9.32,17.66,38.93,16630.0,17660.0,19380.0,36740.0,80970.0,2018,
50,13-2031,Budget Analysts,detailed,120.0,18.0,31.86,66280.0,5.4,14.09,22.03,31.56,42.34,48.62,29300.0,45820.0,65640.0,88060.0,101120.0,2018,
51,13-2041,Credit Analysts,detailed,270.0,17.3,37.19,77350.0,3.6,21.65,25.45,31.89,47.0,60.21,45030.0,52940.0,66330.0,97770.0,125240.0,2018,
52,13-2051,Financial Analysts,detailed,960.0,15.0,34.45,71660.0,4.3,18.79,22.98,32.12,42.53,51.2,39090.0,47800.0,66810.0,88460.0,106510.0,2018,
53,13-2052,Personal Financial Advisors,detailed,900.0,18.3,47.64,99090.0,9.5,18.35,23.79,31.51,68.69,93.7,38170.0,49490.0,65540.0,142870.0,194890.0,2018,
54,13-2053,Insurance Underwriters,detailed,390.0,44.2,33.46,69590.0,5.0,18.79,22.61,29.18,39.18,54.01,39090.0,47040.0,60700.0,81500.0,112340.0,2018,
55,13-2061,Financial Examiners,detailed,170.0,28.3,29.84,62060.0,5.7,18.61,21.72,26.6,33.99,47.57,38710.0,45170.0,55340.0,70700.0,98940.0,2018,
56,13-2071,Credit Counselors,detailed,30.0,33.1,22.91,47640.0,5.9,15.71,17.32,21.43,25.2,28.83,32670.0,36020.0,44570.0,52420.0,59970.0,2018,
57,13-2072,Loan Officers,detailed,1580.0,10.0,33.91,70520.0,4.8,16.38,21.21,29.35,41.03,60.8,34070.0,44110.0,61040.0,85350.0,126450.0,2018,
58,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,120.0,2.7,31.05,64580.0,10.3,17.4,21.0,27.13,38.81,53.13,36200.0,43690.0,56420.0,80720.0,110520.0,2018,
59,13-2082,Tax Preparers,detailed,520.0,35.7,22.59,46980.0,8.8,11.38,15.21,18.9,32.1,37.03,23680.0,31630.0,39320.0,66760.0,77010.0,2018,
60,13-2099,"Financial Specialists, All Other",detailed,350.0,29.3,31.48,65480.0,6.0,18.54,21.59,27.1,35.97,48.83,38560.0,44900.0,56370.0,74810.0,101560.0,2018,
61,15-0000,Computer and Mathematical Occupations,major,16760.0,5.9,36.0,74870.0,2.0,17.74,25.31,34.92,45.91,57.05,36900.0,52640.0,72620.0,95480.0,118670.0,2018,
62,15-1121,Computer Systems Analysts,detailed,2220.0,19.3,36.92,76790.0,3.4,19.29,26.51,35.57,46.07,57.68,40130.0,55140.0,73990.0,95830.0,119970.0,2018,
63,15-1122,Information Security Analysts,detailed,390.0,19.3,41.79,86920.0,2.7,21.19,29.32,38.99,54.57,64.24,44070.0,60990.0,81100.0,113500.0,133620.0,2018,
64,15-1131,Computer Programmers,detailed,720.0,40.0,36.38,75670.0,2.7,23.7,28.56,36.49,44.42,49.07,49290.0,59410.0,75900.0,92400.0,102070.0,2018,
65,15-1132,"Software Developers, Applications",detailed,3700.0,19.8,40.4,84020.0,2.4,23.96,31.49,39.89,49.46,59.86,49850.0,65490.0,82980.0,102870.0,124510.0,2018,
66,15-1133,"Software Developers, Systems Software",detailed,1250.0,22.1,43.66,90820.0,1.6,31.16,35.42,43.01,51.8,60.33,64820.0,73680.0,89460.0,107750.0,125490.0,2018,
67,15-1134,Web Developers,detailed,620.0,24.5,35.13,73070.0,8.1,14.86,22.64,33.19,47.74,57.95,30910.0,47080.0,69030.0,99300.0,120550.0,2018,
68,15-1141,Database Administrators,detailed,570.0,14.9,41.42,86150.0,3.1,21.37,30.14,42.58,53.21,60.75,44460.0,62690.0,88570.0,110670.0,126370.0,2018,
69,15-1142,Network and Computer Systems Administrators,detailed,1280.0,9.6,34.21,71160.0,1.6,20.53,24.3,32.14,42.63,52.39,42700.0,50550.0,66860.0,88670.0,108960.0,2018,
70,15-1143,Computer Network Architects,detailed,560.0,17.7,41.76,86870.0,2.9,25.62,30.7,40.95,50.24,61.92,53290.0,63850.0,85170.0,104510.0,128790.0,2018,
71,15-1151,Computer User Support Specialists,detailed,2760.0,9.8,22.8,47430.0,3.1,13.31,15.89,21.0,28.1,35.81,27680.0,33050.0,43670.0,58450.0,74480.0,2018,
72,15-1152,Computer Network Support Specialists,detailed,680.0,11.7,29.93,62250.0,4.1,17.91,21.76,27.95,36.29,46.73,37250.0,45250.0,58130.0,75490.0,97190.0,2018,
73,15-1199,"Computer Occupations, All Other",detailed,1260.0,28.2,37.88,78800.0,2.1,22.32,29.61,36.06,45.57,58.49,46420.0,61590.0,75000.0,94780.0,121650.0,2018,
74,15-2031,Operations Research Analysts,detailed,460.0,34.6,37.47,77930.0,1.8,25.65,28.86,35.4,45.33,56.06,53360.0,60030.0,73640.0,94290.0,116610.0,2018,
75,15-2041,Statisticians,detailed,110.0,15.4,41.54,86400.0,3.0,29.31,36.46,42.34,45.86,53.14,60960.0,75840.0,88060.0,95390.0,110530.0,2018,
76,17-0000,Architecture and Engineering Occupations,major,10470.0,13.4,35.85,74560.0,2.2,18.45,25.17,34.38,45.55,55.89,38370.0,52340.0,71510.0,94750.0,116240.0,2018,
77,17-1011,"Architects, Except Landscape and Naval",detailed,550.0,3.8,31.94,66430.0,7.9,16.49,19.56,29.64,42.05,49.48,34300.0,40690.0,61650.0,87460.0,102920.0,2018,
78,17-1012,Landscape Architects,detailed,,,30.64,63730.0,7.1,16.46,25.22,34.15,37.11,39.05,34230.0,52460.0,71020.0,77190.0,81220.0,2018,
79,17-1021,Cartographers and Photogrammetrists,detailed,50.0,7.3,,,,,,,,,,,,,,2018,
80,17-1022,Surveyors,detailed,150.0,13.5,26.48,55080.0,4.7,16.42,20.25,26.87,32.53,37.41,34160.0,42120.0,55880.0,67670.0,77810.0,2018,
81,17-2011,Aerospace Engineers,detailed,50.0,49.3,52.66,109540.0,1.9,40.41,46.04,54.24,60.62,64.4,84050.0,95760.0,112820.0,126090.0,133950.0,2018,
82,17-2021,Agricultural Engineers,detailed,40.0,33.6,28.34,58940.0,5.1,18.38,24.09,27.38,32.24,42.85,38230.0,50110.0,56940.0,67070.0,89130.0,2018,
83,17-2041,Chemical Engineers,detailed,130.0,17.7,47.56,98920.0,5.3,30.56,35.87,44.22,55.13,69.7,63560.0,74610.0,91980.0,114670.0,144970.0,2018,
84,17-2051,Civil Engineers,detailed,1350.0,8.0,40.68,84610.0,4.0,22.41,30.31,38.6,48.97,62.92,46600.0,63040.0,80290.0,101870.0,130880.0,2018,
85,17-2061,Computer Hardware Engineers,detailed,120.0,37.2,36.29,75480.0,13.3,20.61,23.44,32.08,44.65,56.08,42870.0,48760.0,66730.0,92880.0,116650.0,2018,
86,17-2071,Electrical Engineers,detailed,810.0,29.5,43.37,90200.0,2.6,27.14,32.98,43.33,53.57,61.66,56460.0,68610.0,90140.0,111420.0,128250.0,2018,
87,17-2072,"Electronics Engineers, Except Computer",detailed,210.0,22.4,46.22,96140.0,5.9,25.11,33.38,43.95,55.68,80.66,52220.0,69440.0,91420.0,115820.0,167770.0,2018,
88,17-2081,Environmental Engineers,detailed,110.0,21.5,38.74,80590.0,5.1,22.32,30.41,39.47,46.43,55.11,46430.0,63250.0,82090.0,96580.0,114620.0,2018,
89,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,70.0,18.1,40.85,84980.0,3.2,27.44,34.74,41.75,48.29,55.48,57070.0,72270.0,86840.0,100440.0,115400.0,2018,
90,17-2112,Industrial Engineers,detailed,1620.0,10.0,36.31,75520.0,2.6,23.32,28.39,35.09,43.58,52.62,48500.0,59040.0,72990.0,90640.0,109460.0,2018,
91,17-2131,Materials Engineers,detailed,50.0,30.6,34.2,71130.0,6.3,16.82,25.09,32.6,43.03,55.92,34990.0,52180.0,67800.0,89500.0,116310.0,2018,
92,17-2141,Mechanical Engineers,detailed,2110.0,42.8,41.74,86810.0,1.8,26.46,32.75,42.48,49.34,58.42,55040.0,68120.0,88360.0,102630.0,121500.0,2018,
93,17-2199,"Engineers, All Other",detailed,330.0,11.0,36.79,76520.0,4.2,16.09,22.81,35.71,49.18,60.06,33470.0,47450.0,74280.0,102290.0,124930.0,2018,
94,17-3011,Architectural and Civil Drafters,detailed,360.0,14.5,26.3,54710.0,6.8,14.09,17.65,24.37,31.75,44.26,29310.0,36720.0,50680.0,66030.0,92060.0,2018,
95,17-3012,Electrical and Electronics Drafters,detailed,,,27.89,58020.0,12.9,11.24,19.8,24.45,36.58,50.82,23390.0,41180.0,50850.0,76080.0,105710.0,2018,
96,17-3013,Mechanical Drafters,detailed,350.0,39.4,25.49,53020.0,3.6,16.53,18.65,24.02,30.92,37.01,34370.0,38780.0,49960.0,64320.0,76970.0,2018,
97,17-3019,"Drafters, All Other",detailed,90.0,33.9,28.93,60170.0,5.5,16.62,22.18,29.28,35.81,39.85,34560.0,46130.0,60900.0,74480.0,82880.0,2018,
98,17-3022,Civil Engineering Technicians,detailed,280.0,21.0,21.61,44940.0,3.2,14.39,17.7,21.42,25.18,29.32,29920.0,36820.0,44540.0,52380.0,60980.0,2018,
99,17-3023,Electrical and Electronics Engineering Technicians,detailed,380.0,16.9,28.8,59910.0,5.0,16.7,21.33,27.74,35.33,43.67,34730.0,44370.0,57700.0,73490.0,90840.0,2018,
100,17-3025,Environmental Engineering Technicians,detailed,30.0,23.1,19.43,40410.0,8.4,13.27,14.57,17.4,22.76,30.58,27600.0,30310.0,36190.0,47350.0,63600.0,2018,
101,17-3026,Industrial Engineering Technicians,detailed,260.0,12.4,23.37,48620.0,2.6,15.85,17.94,22.14,27.62,33.44,32980.0,37310.0,46060.0,57440.0,69560.0,2018,
102,17-3027,Mechanical Engineering Technicians,detailed,220.0,31.4,24.33,50600.0,3.0,16.82,20.28,24.92,28.59,30.85,34990.0,42190.0,51820.0,59460.0,64170.0,2018,
103,17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,,,28.53,59350.0,6.5,19.23,23.49,29.0,34.02,37.29,39990.0,48860.0,60320.0,70760.0,77560.0,2018,
104,17-3031,Surveying and Mapping Technicians,detailed,280.0,13.3,19.61,40800.0,2.8,15.05,16.58,18.43,21.48,25.95,31300.0,34490.0,38330.0,44670.0,53970.0,2018,
105,19-0000,"Life, Physical, and Social Science Occupations",major,2280.0,10.3,33.92,70550.0,2.9,16.78,21.7,30.32,43.44,55.0,34890.0,45130.0,63050.0,90360.0,114400.0,2018,
106,19-1012,Food Scientists and Technologists,detailed,40.0,37.8,34.9,72600.0,11.6,16.66,21.23,27.82,44.94,58.66,34660.0,44170.0,57870.0,93470.0,122010.0,2018,
107,19-1023,Zoologists and Wildlife Biologists,detailed,60.0,47.0,35.56,73960.0,5.4,21.51,25.37,32.13,38.41,68.07,44750.0,52760.0,66820.0,79880.0,141590.0,2018,
108,19-1029,"Biological Scientists, All Other",detailed,50.0,7.5,35.23,73280.0,4.2,22.18,29.43,38.8,42.02,45.85,46130.0,61220.0,80710.0,87390.0,95370.0,2018,
109,19-1031,Conservation Scientists,detailed,30.0,27.5,33.46,69590.0,6.4,16.42,24.41,34.34,44.1,47.67,34150.0,50780.0,71430.0,91720.0,99160.0,2018,
110,19-1042,"Medical Scientists, Except Epidemiologists",detailed,100.0,37.8,44.01,91550.0,5.6,28.68,34.34,42.46,50.19,66.07,59660.0,71430.0,88320.0,104390.0,137430.0,2018,
111,19-2021,Atmospheric and Space Scientists,detailed,30.0,19.8,,,,,,,,,,,,,,2018,
112,19-2031,Chemists,detailed,210.0,15.3,38.96,81040.0,4.2,21.69,28.5,36.93,47.96,57.96,45120.0,59270.0,76810.0,99760.0,120560.0,2018,
113,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,240.0,36.1,23.74,49370.0,2.9,16.47,18.79,21.85,25.66,36.27,34260.0,39090.0,45450.0,53370.0,75440.0,2018,
114,19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,50.0,38.4,38.2,79460.0,6.1,22.06,28.12,41.46,46.58,54.53,45880.0,58480.0,86230.0,96890.0,113420.0,2018,
115,19-2099,"Physical Scientists, All Other",detailed,,,47.02,97810.0,4.5,40.98,43.98,47.32,53.13,58.37,85240.0,91470.0,98430.0,110520.0,121410.0,2018,
116,19-3022,Survey Researchers,detailed,30.0,43.3,28.13,58510.0,6.5,20.29,23.69,28.89,34.09,37.62,42210.0,49270.0,60100.0,70910.0,78250.0,2018,
117,19-3031,"Clinical, Counseling, and School Psychologists",detailed,310.0,21.6,40.46,84150.0,5.3,15.03,26.58,35.4,48.88,72.01,31260.0,55290.0,73630.0,101660.0,149780.0,2018,
118,19-3039,"Psychologists, All Other",detailed,30.0,8.7,46.1,95900.0,2.9,40.68,46.15,50.33,53.13,54.53,84610.0,95980.0,104690.0,110510.0,113430.0,2018,
119,19-3051,Urban and Regional Planners,detailed,60.0,9.8,28.43,59140.0,6.9,16.42,20.8,24.65,37.62,45.98,34160.0,43250.0,51280.0,78240.0,95640.0,2018,
120,19-3099,"Social Scientists and Related Workers, All Other",detailed,70.0,6.0,45.16,93930.0,7.3,21.95,35.28,43.81,53.31,62.93,45650.0,73380.0,91130.0,110880.0,130900.0,2018,
121,19-4011,Agricultural and Food Science Technicians,detailed,70.0,33.4,24.52,51000.0,6.0,15.83,18.85,22.72,28.62,37.34,32920.0,39210.0,47250.0,59530.0,77670.0,2018,
122,19-4021,Biological Technicians,detailed,70.0,39.5,20.56,42760.0,8.5,14.06,16.67,20.72,24.38,28.01,29240.0,34660.0,43100.0,50700.0,58250.0,2018,
123,19-4031,Chemical Technicians,detailed,190.0,9.9,25.9,53880.0,5.4,14.99,18.2,23.84,33.74,38.66,31170.0,37850.0,49580.0,70180.0,80420.0,2018,
124,19-4061,Social Science Research Assistants,detailed,50.0,7.6,23.3,48470.0,3.0,16.02,18.23,23.23,28.06,30.71,33330.0,37920.0,48320.0,58360.0,63870.0,2018,
125,19-4091,"Environmental Science and Protection Technicians, Including Health",detailed,40.0,21.1,29.54,61450.0,10.0,14.99,17.92,23.0,44.71,49.63,31190.0,37280.0,47850.0,92990.0,103230.0,2018,
126,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,220.0,17.4,25.6,53250.0,1.8,15.79,19.55,25.45,30.71,37.57,32850.0,40660.0,52940.0,63880.0,78140.0,2018,
127,21-0000,Community and Social Service Occupations,major,8020.0,5.3,21.44,44600.0,2.9,12.59,15.69,19.45,25.86,34.0,26180.0,32630.0,40450.0,53780.0,70730.0,2018,
128,21-1012,"Educational, Guidance, School, and Vocational Counselors",detailed,850.0,18.4,31.68,65890.0,6.4,17.57,23.24,31.24,40.04,47.45,36550.0,48350.0,64980.0,83280.0,98690.0,2018,
129,21-1013,Marriage and Family Therapists,detailed,100.0,29.9,20.38,42400.0,4.2,15.36,16.56,18.54,22.71,29.16,31950.0,34450.0,38560.0,47240.0,60660.0,2018,
130,21-1015,Rehabilitation Counselors,detailed,220.0,22.0,16.62,34570.0,3.8,10.54,12.33,15.89,19.27,24.43,21910.0,25640.0,33060.0,40080.0,50820.0,2018,
131,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,1190.0,15.1,21.7,45130.0,2.9,14.44,17.07,20.95,24.95,30.87,30030.0,35500.0,43570.0,51900.0,64220.0,2018,
132,21-1021,"Child, Family, and School Social Workers",detailed,1670.0,5.0,20.17,41960.0,3.6,13.56,16.04,18.66,22.83,29.58,28200.0,33360.0,38820.0,47480.0,61540.0,2018,
133,21-1022,Healthcare Social Workers,detailed,720.0,10.5,24.58,51120.0,2.4,16.68,19.91,25.3,29.06,31.45,34700.0,41410.0,52630.0,60430.0,65420.0,2018,
134,21-1023,Mental Health and Substance Abuse Social Workers,detailed,260.0,17.3,19.89,41370.0,2.2,14.77,16.51,18.85,23.39,27.96,30710.0,34350.0,39220.0,48650.0,58150.0,2018,
135,21-1029,"Social Workers, All Other",detailed,130.0,0.0,33.7,70090.0,2.9,14.88,30.42,38.26,39.99,42.33,30950.0,63270.0,79590.0,83170.0,88050.0,2018,
136,21-1091,Health Educators,detailed,160.0,21.2,23.78,49470.0,5.3,14.93,17.9,23.36,29.82,35.39,31050.0,37230.0,48590.0,62020.0,73610.0,2018,
137,21-1092,Probation Officers and Correctional Treatment Specialists,detailed,380.0,25.7,18.16,37780.0,3.6,13.47,15.65,17.43,19.85,24.1,28030.0,32560.0,36250.0,41290.0,50140.0,2018,
138,21-1093,Social and Human Service Assistants,detailed,1460.0,15.0,15.42,32070.0,2.8,10.23,11.7,14.23,18.29,23.26,21280.0,24340.0,29600.0,38050.0,48380.0,2018,
139,21-1094,Community Health Workers,detailed,460.0,25.1,20.32,42270.0,5.4,13.13,15.38,18.29,24.54,31.31,27300.0,31980.0,38050.0,51050.0,65130.0,2018,
140,21-1099,"Community and Social Service Specialists, All Other",detailed,170.0,24.0,24.98,51960.0,3.8,15.86,18.86,24.65,30.48,36.36,32980.0,39240.0,51280.0,63390.0,75620.0,2018,
141,21-2011,Clergy,detailed,210.0,37.1,23.49,48860.0,3.3,15.65,19.81,22.59,26.2,33.32,32550.0,41200.0,47000.0,54500.0,69310.0,2018,
142,23-0000,Legal Occupations,major,3720.0,5.8,40.88,85030.0,5.9,16.9,22.2,30.71,51.0,75.8,35150.0,46180.0,63890.0,106090.0,157660.0,2018,
143,23-1011,Lawyers,detailed,2100.0,8.9,52.74,109690.0,6.4,25.47,30.86,42.82,66.11,90.58,52980.0,64180.0,89070.0,137510.0,188410.0,2018,
144,23-1012,Judicial Law Clerks,detailed,40.0,4.4,15.75,32760.0,6.2,12.32,13.18,14.63,17.38,21.5,25620.0,27420.0,30430.0,36150.0,44710.0,2018,
145,23-1022,"Arbitrators, Mediators, and Conciliators",detailed,,,24.85,51680.0,3.5,20.0,21.59,24.25,27.69,29.81,41600.0,44910.0,50440.0,57600.0,62010.0,2018,
146,23-1023,"Judges, Magistrate Judges, and Magistrates",detailed,100.0,0.1,64.08,133290.0,2.1,53.23,58.44,70.11,70.12,75.8,110720.0,121560.0,145830.0,145850.0,157670.0,2018,
147,23-2011,Paralegals and Legal Assistants,detailed,1130.0,11.7,22.49,46780.0,4.5,14.84,17.85,21.81,25.87,31.57,30860.0,37130.0,45370.0,53810.0,65670.0,2018,
